Wilayah,,,,,,,,,,,,,,,,,,
,Jumlah dan Persentase Balita Stunting Menurut Kabupaten/Kota (Jiwa),,,,,,,,,,,,,,,,,
,Sangat Pendek,,,Pendek,,,Normal,,,Tinggi,,,Stunting,,,Persentase Stunting,,
,2023,2022,2021,2023,2022,2021,2023,2022,2021,2023,2022,2021,2023,2022,2021,2023,2022,2021
Sumba Barat,386,639,518,905,1972,1561,9393,8554,6696,26,29,33,1291,2611,2079,12,23,24
Sumba Timur,636,779,1024,2041,2699,2750,19977,19815,15958,20,31,71,2677,3478,3774,12,15,19
Kupang,1094,1494,1721,2778,4624,4953,25968,24518,23052,25,136,188,3872,6118,6674,13,20,22
Timor Tengah Selatan,3108,3653,4002,5816,7989,9121,31092,29457,27681,31,38,133,8924,11642,13123,22,28,32
Timor Tengah Utara,1409,1239,1212,3146,4041,3992,15587,16339,15318,6,13,12,4555,5280,5204,23,24,25
Belu,661,829,971,1323,1644,2200,15932,15609,14482,11,19,28,1984,2473,3171,11,14,18
Alor,640,452,473,1133,1667,2676,15998,15997,13464,45,37,77,1773,2119,3149,10,12,19
Lembata,167,252,403,878,1146,1401,7884,7296,6274,17,22,52,1045,1398,1804,12,16,22
Flores Timur,524,567,590,2660,2845,3106,14402,14811,13960,3,6,5,3184,3412,3696,18,19,21
Sikka,917,608,844,2401,2566,3103,18300,19859,17636,27,29,74,3318,3174,3947,15,14,18
Ende,272,331,619,969,1418,2156,16974,17816,16553,10,21,38,1241,1749,2775,7,9,14
Ngada,226,179,231,676,848,991,9810,9994,9211,3,18,23,902,1027,1222,8,9,12
Manggarai,1054,1123,1263,2427,3190,3578,23062,22180,20658,28,70,114,3481,4313,4841,13,16,19
Rote Ndao,801,845,848,1963,2166,2255,10731,10496,10077,13,16,35,2764,3011,3103,20,22,23
Manggarai Barat,516,826,828,1385,2849,2667,21252,19404,19627,17,39,63,1901,3675,3495,8,16,15
Sumba Tengah,201,153,139,348,506,420,7007,6883,6352,7,20,1,549,659,559,7,9,8
Sumba Barat Daya,3199,2416,1922,6563,5854,4438,20814,25686,13896,72,100,98,9762,8270,6360,32,24,31
Nagekeo,198,210,204,530,736,787,9862,10279,9802,9,9,22,728,946,991,7,8,9
Manggarai Timur,481,478,773,1714,1930,2279,22109,22369,19069,122,232,82,2195,2408,3052,9,10,14
Sabu Raijua,376,496,501,854,1000,1536,6884,6789,5945,-,2,9,1230,1496,2037,15,18,25
Malaka,923,708,856,1486,1874,2374,13055,13655,11731,31,52,65,2409,2582,3230,16,16,21
Kota Kupang,1049,1422,912,2970,4075,2156,19306,19956,8664,57,90,43,4019,5497,3068,17,22,26
Nusa Tenggara Timur,18838,19699,20854,44966,57639,60500,355399,357762,306106,580,1029,1266,63804,77338,81354,15,18,21
